CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-01-0518-46,,09-005,QUETZALTENANGO,QUETZALTENANGO,COLEGIO JOHN HARVARD,4A. CALLE 16-33 ZONA 1,42111030,JUAN CARLOS RONQUILLO DE LEON,DANCI SUCELY CHÁVEZ GUZMÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0520-46,,09-002,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO IBEROAMERICANO DE ESTUDIOS AVANZADOS,AVENIDA EL CENIZAL 0-79 ZONA 4,42570540,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,MIGUEL ANGEL PISQUIY QUIXTÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0521-46,,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO EVANGÉLICO LA PALABRA,2DA. CALLE 20-34 ZONA 1,42889079,WILSON RANFERI SIGUENZA LOPEZ,ESTELA ANTONIETA CUYUCH COROY,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0523-46,,09-002,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""LICEO SANTA MARIA""",24 AVENIDA 1-96 ZONA 1,77655654,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,MARIO RENE BARRIOS TELLO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0525-46,,09-008,QUETZALTENANGO,QUETZALTENANGO,"INSTITUTO NACIONAL ""JACOBO ARBENZ GUZMÁN""",25 AVENIDA 3-45 ZONA 3,77650225,RAMON YAX LAINES,JUAN CARLOS HERNÁNDEZ RÍOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0527-46,,09-006,QUETZALTENANGO,QUETZALTENANGO,"COLEGIO PRIVADO MIXTO ""LICEO SAN LUIS""",20 AVENIDA 1-16 ZONA 1,77612031,PEDRO GERÓNIMO SARAT CHAJ,HEIDY DOLORES CHAJ ALVAREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),QUETZALTENANGO
09-01-0529-46,,09-005,QUETZALTENANGO,QUETZALTENANGO,ESCUELA NORMAL DE EDUCACIÓN FÍSICA,2A. CALLE 14-51 ZONA 3,50200358,JUAN CARLOS RONQUILLO DE LEON,LESTER ELIGIO VÁSQUEZ CASTAÑAZA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0530-46,,09-005,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO DE BACHILLERATO ADSCRITO AL INSTITUTO NORMAL PARA VARONES DE OCCIDENTE,7MA. CALLE 29-25 ZONA 3,41179478,JUAN CARLOS RONQUILLO DE LEON,FRANCISCO MIGUEL TIRADO HUINAC,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0532-46,,09-002,QUETZALTENANGO,QUETZALTENANGO,LICEO ITALIANO TRILINGÜE,1RA CALLE D15 29-04 ZONA 1,77617806,ROSEMERY GUADALUPE PIEDRASANTA GRAMAJO DE SIGUENZA,NUSY ERICA GONZÁLEZ VÁSQUEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0538-46,,09-006,QUETZALTENANGO,QUETZALTENANGO,COLEGIO INTEGRAL PRINCIPIOS,32 AV. D2-87 ZONA 3,56127694,PEDRO GERÓNIMO SARAT CHAJ,LIDIA YOLANDA PÉREZ REYNOSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0539-46,,09-041,QUETZALTENANGO,QUETZALTENANGO,COLEGIO LIFE SCHOOL,11 CALLE 0-07 ZONA 2,39928164,WILSON RANFERI SIGUENZA LOPEZ,ANA LUCRECIA URRUTIA CANCINOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0540-46,,09-006,QUETZALTENANGO,QUETZALTENANGO,"CENTRO EDUCATIVO ""ISEA QUETZALTENANGO""","21 AVENIDA 0-28, ZONA 3, EDIFICIO MINERVA, OFICINA 204",77654744,PEDRO GERÓNIMO SARAT CHAJ,LIGIA ELENA MORALES PALACIOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,A DISTANCIA,QUETZALTENANGO
09-01-0551-46,,09-006,QUETZALTENANGO,QUETZALTENANGO,INSTITUTO EVANGÉLICO DE OCCIDENTE INEVOC CAMPUS LA ROCA,4TA AVENIDA A 6A-35 ZONA 10,77945736,PEDRO GERÓNIMO SARAT CHAJ,SHEILY EUNICE DÍAZ SOLÍS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0552-46,,09-041,QUETZALTENANGO,QUETZALTENANGO,ESCUELA PRIVADA MIXTA EVANGÉLICA SHEKINÁ,12 CALLE 1-90 ZONA 8,34500905,WILSON RANFERI SIGUENZA LOPEZ,LUDWING IVAN TEBALAN OROXOM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0553-46,,09-041,QUETZALTENANGO,QUETZALTENANGO,ESCUELA PRIVADA MIXTA EVANGÉLICA SHEKINÁ,12 CALLE 1-90 ZONA 8,34500905,WILSON RANFERI SIGUENZA LOPEZ,LUDWING IVAN TEBALAN OROXOM,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
