CODIGO,,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-05-0104-46,,18-037,IZABAL,LOS AMATES,COLEGIO EVANGELICO PRIVADO MIXTO HOREB JULIO GONZALEZ,CALLE 15 DE SEPTIEMBRE,79473173,MIRNA JUDITH AQUINO RIVERA DE ELIAS,BRENDA ROXANA AYALA MORENTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-05-0105-46,,18-037,IZABAL,LOS AMATES,COLEGIO J. HARVARD,BARRIO EL INSTITUTO,57022244,MIRNA JUDITH AQUINO RIVERA DE ELIAS,EDITA SELENA ORTEGA MANCHAMÉ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,IZABAL
18-05-0107-46,,18-037,IZABAL,LOS AMATES,COLEGIO EVANGELICO PRIVADO MIXTO HOREB JULIO GONZALEZ,CALLE 15 DE SEPTIEMBRE,79473173,MIRNA JUDITH AQUINO RIVERA DE ELIAS,BRENDA ROXANA AYALA MORENTE,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),IZABAL
18-05-0110-46,,18-036,IZABAL,LOS AMATES,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA PLANES DE SANTA ROSA,57010886,LESBIA MARELI SANTOS PANCAN DE SUCHITE,EDY JEREMÍAS OLIVA ALDANA,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-05-0111-46,,18-037,IZABAL,LOS AMATES,COLEGIO PRIVADO LIC. DAVID VELA,KM 200 AL ATLANTICO,79473116,MIRNA JUDITH AQUINO RIVERA DE ELIAS,HÉCTOR ENRIQUE ZÚÑIGA ORELLANA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-05-0117-46,,18-037,IZABAL,LOS AMATES,CENTRO EDUCATIVO MAYA,BARRIO LA CASONA,53034233,MIRNA JUDITH AQUINO RIVERA DE ELIAS,HÉCTOR REYNALDO GÓMEZ AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-05-0118-46,,18-037,IZABAL,LOS AMATES,CENTRO EDUCATIVO MAYA,BARRIO LA CASONA,53034233,MIRNA JUDITH AQUINO RIVERA DE ELIAS,HÉCTOR REYNALDO GÓMEZ AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,IZABAL
18-05-0125-46,,18-037,IZABAL,LOS AMATES,"LICEO PRIVADO MIXTO ""HAMA"" LIC. HOLCAR ALEXANDER MORALES ARROYO","BARRIO TOLTEC, ALDEA QUIRIGUA",44833814,MIRNA JUDITH AQUINO RIVERA DE ELIAS,MIGUEL ANGEL DE PAZ ACEVEDO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,IZABAL
18-05-0126-46,,18-037,IZABAL,LOS AMATES,"LICEO PRIVADO MIXTO ""HAMA"" LIC. HOLCAR ALEXANDER MORALES ARROYO","BARRIO TOLTEC, ALDEA QUIRIGUA",44833814,MIRNA JUDITH AQUINO RIVERA DE ELIAS,MIGUEL ANGEL DE PAZ ACEVEDO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-05-0129-46,,18-036,IZABAL,LOS AMATES,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA PUENTE,ALDEA PUNTA BRAVA,44900790,LESBIA MARELI SANTOS PANCAN DE SUCHITE,COSMEN ENRIQUE SÁNCHEZ CAC,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-05-0133-46,,18-037,IZABAL,LOS AMATES,"COLEGIO PRIVADO ""LIC. DAVID VELA""",KILOMETRO 200 RUTA AL ATLÁNTICO,79473116,MIRNA JUDITH AQUINO RIVERA DE ELIAS,HECTOR ENRIQUE ZUÑIGA ORELLANA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,IZABAL
18-05-0134-46,,18-037,IZABAL,LOS AMATES,"COLEGIO PRIVADO ""LIC. DAVID VELA""",KILOMETRO 200 RUTA AL ATLANTICO,79473116,MIRNA JUDITH AQUINO RIVERA DE ELIAS,HECTOR ENRIQUE ZUÑIGA ORELLANA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,IZABAL
18-05-0137-46,,18-037,IZABAL,LOS AMATES,CENTRO EDUCATIVO MAYA,BARRIO LA CASONA,53034233,MIRNA JUDITH AQUINO RIVERA DE ELIAS,HÉCTOR REYNALDO GÓMEZ AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),IZABAL
18-05-0141-46,,18-037,IZABAL,LOS AMATES,"ESCUELA PARTICULAR MIXTA ""LICENCIADO DAVID VELA""",KILOMETRO 200 RUTA AL ATLANTICO,79473116,MIRNA JUDITH AQUINO RIVERA DE ELIAS,HÉCTOR ENRIQUE ZÚÑIGA ORELLANA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),IZABAL
18-05-0143-46,,18-037,IZABAL,LOS AMATES,COLEGIO J. HARVARD,BARRIO EL INSTITUTO,57022244,MIRNA JUDITH AQUINO RIVERA DE ELIAS,EDITA SELENA ORTEGA MANCHAMÉ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),IZABAL
18-05-0145-46,,18-037,IZABAL,LOS AMATES,"LICEO PRIVADO MIXTO ""HAMA"" LIC. HOLCAR ALEXANDER MORALES ARROYO","BARRIO TOLTEC, ALDEA QUIRIGUA",44833814,MIRNA JUDITH AQUINO RIVERA DE ELIAS,MIGUEL ANGEL DE PAZ ACEVEDO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (FIN DE SEMANA),IZABAL
18-05-0146-46,,18-037,IZABAL,LOS AMATES,"COLEGIO CATOLICO MIXTO ""NUEVO SAN JOSÉ""",BARRIO EL CEMENTERIO,30363418,MIRNA JUDITH AQUINO RIVERA DE ELIAS,NESTOR IRAN NAVAS GUZMÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-05-0152-46,,18-037,IZABAL,LOS AMATES,CENTRO EDUCATIVO MAYA,BARRIO LA CASONA,53034233,MIRNA JUDITH AQUINO RIVERA DE ELIAS,HÉCTOR REYNALDO GÓMEZ AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-05-0154-46,,18-037,IZABAL,LOS AMATES,CENTRO EDUCATIVO MAYA,BARRIO LA CASONA,53034233,MIRNA JUDITH AQUINO RIVERA DE ELIAS,HÉCTOR REYNALDO GÓMEZ AGUILAR,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),IZABAL
18-05-0156-46,,18-009,IZABAL,LOS AMATES,GRUPO LA CEIBA,ALDEA PUNTA BRAVA,37199322,ANA MARIBEL CASTILLO DIAZ,ERVIN ARNOLDO ESQUIVEL AVILA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,IZABAL
18-05-0482-46,,18-036,IZABAL,LOS AMATES,ESCUELA NACIONAL DE CIENCIAS COMERCIALES PROFESOR OSCAR JAMES DUQUE,"COLONIA SANTA MARTA, BARRIO EL POZON",79473697,LESBIA MARELI SANTOS PANCAN DE SUCHITE,HÉCTOR REYNALDO GÓMEZ AGUILAR,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-05-1982-46,,18-037,IZABAL,LOS AMATES,COLEGIO J. HARVARD,KILOMETRO 201 LOS AMATES IZABAL,57022244,MIRNA JUDITH AQUINO RIVERA DE ELIAS,EDITA SELENA ORTEGA MANCHAMÉ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-05-3059-46,,18-037,IZABAL,LOS AMATES,INSTITUTO DE FORMACION BASICA Y PROFESIONAL ENRIQUE ESTRADA SANDOVAL,"COLONIA SANTA MARTA, BARRIO EL POZON",79473813,MIRNA JUDITH AQUINO RIVERA DE ELIAS,GLADIS MARIVEL OCHOA RUIZ DE GONZALEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
